webpageID,og:type,salestype,country,language,categorypath,tooltip,ui-tabs-panel
000274_,product,franchise,us,en,cloud-client-computing, , 
000280_,product,franchise,us,en,enterprise-products, , 
000281_,product,franchise,us,en,enterprise-products, , 
000286_,product,franchise,us,en,laptops, , 
000287_,category,franchise,us,en,laptops, , 
000289_,product,franchise,us,en,enterprise-products, , 
000290_,product,franchise,us,en,desktops, , 
000291_,category,product_category,us,en,enterprise-products, , 
000292_,category,product_category,us,en,desktops, , 
000296_,category,product_category,uk,en,enterprise-products, , 
000297_,product,franchise,us,en,enterprise-products, , 
000298_,category,franchise,us,en,laptops, , 
000299_,product,franchise,us,en,enterprise-products, , 
000300_,category,franchise,us,en,server-storage-solutions, , 
000301_,category,config_category,us,en,deals, , 
000308_,product,franchise,us,en,server-storage-solutions, , 
000309_,product,franchise,us,en,enterprise-products, , 
000310_,category,parent_product_category,us,en,all-products, , 
000311_,category,product_category,au,en,desktops, , 
000312_,product,franchise,us,en,enterprise-products, , 
000316_,product,franchise,us,en,laptops, , 
000318_,product,franchise,us,en,enterprise-products, , 
000321_,product,franchise,us,en,desktops, , 
000322_,category,franchise,uk,en,enterprise-products, , 
000331_,category,franchise,uk,en,laptops, , 
000332_,category,product_category,us,en,enterprise-products, , 
000335_,category,parent_product_category,us,en,all-products, , 
000341_,product,franchise,us,en,desktops, , 
000343_,document, , ,en,document_, , 
000345_,product,franchise,us,en,laptops, , 
000350_,category,product_category,us,en,laptops, , 
000351_,product,franchise,us,en,desktops, , 
000352_,product,franchise,us,en,desktops, , 
000355_,category,product_category,in,en,desktops, , 
000356_,product,franchise,us,en,enterprise-products, , 
000358_,category,parent_product_category,us,en,all-products, , 
000359_,category,franchise,us,en,desktops, , 
000360_,product,franchise,us,en,desktops, , 
000362_,product,franchise,uk,en,laptops, , 
000365_,document, , ,en,document_, , 
000366_,category,product_category,us,en,enterprise-products, , 
000369_,product,franchise,us,en,software, , 
000371_,category,product_category,us,en,dell-tablets, , 
000373_,category,franchise,us,en,desktops, , 
000382_,product,franchise,us,en,laptops, , 
000383_,category,product_category,us,en,enterprise-products, , 
000385_,product,franchise,us,en,cloud-client-computing, , 
000389_,product,franchise,us,en,laptops, , 
000390_,product,franchise,us,en,enterprise-products, , 
000392_,product,franchise,us,en,laptops, , 
000393_,category,franchise,us,en,enterprise-products, , 
000394_,category,product_category,us,en,enterprise-products, , 
000397_,category,franchise,us,en,enterprise-products, , 
000400_,document, , ,en,document_, , 
000404_,category,franchise,in,en,laptops, , 
000405_,category,product_category,us,en,enterprise-products, , 
000407_,product,franchise,us,en,cloud-client-computing, , 
000409_,category,product_category,us,en,enterprise-products, , 
000412_,category,franchise,us,en,laptops, , 
