webpageID,og:type,pagetype,salestype,country,language
016938_,document,,,,en
016993_,product,product,franchise,us,en
017044_,document,,,,en
017078_,product,product,franchise,us,en
017106_,document,,,,en
017154_,category,category,parent_product_category,us,en
017467_,product,product,franchise,us,en
017523_,product,product,franchise,us,en
017630_,document,,,,en
017695_,category,category,parent_product_category,us,en
017746_,document,,,,en
017900_,document,,,,en
017976_,product,product,franchise,us,en
018123_,document,,,,en
018139_,product,product,franchise,us,en
018284_,document,,,,en
018287_,document,,,,en
018350_,document,,,,en
018358_,product,product,franchise,us,en
018472_,category,category,franchise,us,en
018535_,document,,,,en
018595_,document,,,,en
018680_,product,product,franchise,us,en
018691_,document,,,,en
018876_,product,product,franchise,us,en
019040_,document,,,,en
019155_,document,,,,en
019228_,product,product,franchise,us,en
019447_,document,,,,en
019465_,product,product,franchise,us,en
019602_,product,product,franchise,us,en
019689_,product,product,franchise,us,en
019698_,category,category,franchise,us,en
019706_,product,product,franchise,us,en
019728_,product,product,franchise,us,en
019736_,document,,,,en
019769_,product,product,franchise,us,en
019995_,document,,,,en
020059_,,,,,en
020069_,document,,,,en
020112_,category,category,franchise,us,en
020278_,document,,,,en
020394_,product,product,franchise,us,en
020624_,document,,,,en
020668_,,,,,en
020686_,document,,,,en
020695_,document,,,,en
020703_,document,,,,en
020818_,product,product,franchise,us,en
020913_,product,product,franchise,us,en
021101_,product,product,franchise,us,en
021273_,document,,,,en
021385_,product,product,franchise,us,en
021435_,product,product,franchise,us,en
021481_,document,,,,en
021700_,product,product,franchise,us,en
021915_,product,product,franchise,us,en
021946_,product,product,franchise,us,en
022083_,product,product,franchise,us,en
022090_,product,product,franchise,us,en
022464_,product,product,franchise,us,en
022616_,product,product,franchise,us,en
022718_,document,,,,ko
022875_,category,category,franchise,us,en
022878_,product,product,franchise,us,en
022892_,product,product,franchise,us,en
023104_,product,product,franchise,us,en
023213_,category,category,franchise,us,en
023274_,document,,,,en
023306_,product,product,franchise,us,en
023480_,product,product,franchise,us,en
023558_,document,,,,en
023578_,document,,,,en
023625_,product,product,franchise,us,en
023659_,product,product,franchise,us,en
023688_,document,,,,en
023799_,document,,,,en
023872_,product,product,franchise,us,en
023935_,document,,,,en
024179_,document,,,,en
024347_,product,product,franchise,us,en
024581_,product,product,franchise,us,en
024670_,category,category,franchise,us,en
024684_,category,category,parent_product_category,us,en
024826_,category,category,parent_product_category,us,en
024885_,document,,,,en
024887_,document,,,,en
025041_,document,,,,en
025485_,product,product,franchise,us,en
025531_,document,,,,en
025543_,document,,,,en
025667_,category,category,parent_product_category,us,en
,,,,,
026007_,document,,,,en
026072_,product,product,franchise,us,en
026262_,product,product,franchise,us,en
026352_,document,,,,en
026474_,product,product,franchise,us,en
026511_,document,,,,en
026647_,document,,,,en
026709_,category,category,franchise,us,en
026716_,product,product,franchise,us,en
026828_,document,,,,en
026862_,,,,,en
026871_,document,,,,en
027092_,product,product,franchise,us,en
027168_,product,product,franchise,us,en
027438_,document,,,,en
027520_,product,product,product_category,us,en
027528_,document,,,,en
027582_,product,product,franchise,us,en
027603_,category,category,franchise,us,en
027743_,product,product,franchise,us,en
028101_,,,,,en
028253_,document,,,,en
028264_,document,,,,en
028298_,document,,,,en
028649_,product,product,franchise,us,en
028713_,,,,,en
028837_,product,product,franchise,us,en
029123_,product,product,franchise,us,en
029236_,category,category,product_category,us,en
029395_,category,category,product_category,us,en
029420_,product,product,franchise,us,en
029423_,product,product,franchise,us,en
029882_,,,,,en
029909_,category,category,config_category,us,en
029946_,category,category,franchise,us,en
030152_,document,,,,en
030416_,document,,,,en
030702_,document,,,,en
030761_,,,,,en
030824_,category,category,franchise,us,en
030927_,product,product,franchise,us,en
031071_,product,product,franchise,us,en
031157_,product,product,franchise,us,en
031295_,document,,,,en
031297_,product,product,franchise,us,en
031371_,product,product,franchise,us,en
031584_,document,,,,en
031588_,product,product,franchise,us,en
031682_,document,,,,en
031699_,document,,,,en
031848_,document,,,,en
031977_,product,product,franchise,us,en
032031_,product,product,franchise,us,en
032054_,document,,,,en
032143_,category,category,config_category,us,en
032187_,document,,,,en
032199_,document,,,,en
032313_,product,product,franchise,us,en
032554_,product,product,franchise,us,en
032594_,product,product,franchise,us,en
032706_,document,,,,en
032759_,product,product,franchise,us,en
032788_,document,,,,en
032859_,document,,,,en
032954_,product,product,franchise,us,en
032960_,product,product,franchise,us,en
